	pairs	type	Acilius_sulcatus	Agabus_bipustulatus	Agabus_nebulosus	anacaena_bipustulata	anacaena_globulus	Anacaena_limbata	Anacaena_lutescens	Berosus_affinis	Chaetarthria_sp.	Colymbetes_fuscus	Copelatus_haemorrhoidalis	Cercyon_bifenestratus	Cercyon_convexiusculus	Coelostoma_orbiculare	Cymbiodyta_marginella	Dryops_sp.	Dryops_luridus	Dytiscus_marginalis	Enochrus_sp.	Enochrus_coarctatus	Enochrus_melanocephalus	Enochrus_ochropterus	Enochrus_testaceus	Graphoderus_cinereus	Graptodytes_pictus	Haliplus_apicalis	Haliplus_flavicollis	Haliplus_fluviatilis	Haliplus_heydeni	Haliplus_lineaticollis	Haliplus_immaculatus	Haliplus_ruficollis	Haliplus_gr._ruficollis	Helochares_lividus	Helochares_obscurus	Helophorus_sp._(gr._grandis_-_griseus)	Helophorus_griseus	Helophorus_grandis	Helophorus_minutus	Ilybius_fuliginosus	Hydraena_sp.	Hydraena_palustris	Hydraena_testacea	Hydrobius_fuscipes	Hydroglyphus_pusillus	Hydroporus_angustatus	Hydroporus_incognitus	Hydroporus_memnonius	Hydroporus_palustris	Hydroporus_striola	Hydrovatus_clypealis	Hydrovatus_cuspidatus	Hygrobia_hermanni	Hygrotus_confluens	Hygrotus_impressopunctatus	Hygrotus_inaequalis	Hygrotus_versicolor	Hyphydrus_ovatus	Laccophilus_minutus	Noterus_clavicornis	Ochthebius_minimus	Peltodytes_caesus	Rhantus_frontalis	Rhantus_suturalis	Suphrodytes_dorsalis
BW_07411	13	org	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	5	0	1	5	0	0	0	0	1	0	0	0	0	8	0	0	0	1	0	0	1	0	2	0	0	1	0	0	1	1
BW_07424	13	conv	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_15060	NA	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_15061	NA	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_22050	12	org	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_22166	12	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BW_23233	11	conv	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
BW_26498	NA	org	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BW_28643	NA	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0
BW_28887	NA	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
