	pairs	type	Callicorixa_praeusta	Corixa_punctata	Corixinae	Cymatia_coleoptrata	Gerris_lacustris	Gerris_odontogaster	Gerris_sp	Hesperacorixa_castanea	Hesperacorixa_linnaei	Hesperacorixa_sahlbergi	Ilyocoris_cimicoides	Micronecta_scholzi	Micronecta_sp	Naucoris_maculatus	Nepa_cinerea	Notonecta_glauca	Notonecta_maculata	Notonecta_viridis	Notonecta_sp	Paracorixa_concinna	Plea_minutissima	Ranatra_linearis	Sigara_distincta	Sigara_iactans	Sigara_lateralis	Sigara_limitata	Sigara_nigrolineata	Sigara_semistriata	Sigara_striata	Sigara_sp
BW_07411	13	org	0	96	1	0	0	0	0	1	0	5	0	0	0	0	0	9	0	0	0	0	0	0	1	0	17	15	2	0	2	2
BW_07424	13	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_15060	NA	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_15061	NA	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_22050	12	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_22166	12	conv	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	39	0	0	1	0	85	1
BW_23233	11	conv	0	7	0	0	0	0	0	0	0	0	84	0	0	0	1	4	0	0	0	0	3	0	0	0	1	0	0	0	3	6
BW_26498	NA	org	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_28643	NA	org	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
BW_28887	NA	conv	0	0	0	0	0	0	0	0	0	0	44	0	0	36	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_33613	11	org	0	0	0	0	1	0	0	0	0	0	14	12	0	0	3	0	0	0	0	0	49	2	0	26	0	0	0	0	257	0
BW_34860	6	conv	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	184	0	0	0	0	2	0	0	0	0
BW_34868	6	org	0	2	0	5	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0
BW_34872	NA	conv	0	30	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	2	0	0	0	0
BW_35180	NA	conv	12	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	1	1	6	17	0	1	0	282	10	0	0	20	0
BW_35695	2	conv	0	0	0	0	0	0	0	0	0	0	19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
BW_35754	2	org	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_36014	1	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_36023	1	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_36256	NA	org	0	1	1	1	0	0	0	0	0	0	11	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0
BW_36962	3	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0
BW_40399_P4	NA	conv	0	5	0	0	0	0	0	0	0	0	24	0	0	0	2	0	0	5	8	0	104	0	0	0	0	0	0	0	0	0
BW_40478	4	org	1	0	0	2	1	2	11	0	3	0	64	4	0	0	1	0	0	0	0	0	163	0	0	0	1	0	0	0	3	0
BW_40494	NA	org	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	37	1	0	8	0	0	0	0	3	29
BW_40583_P6	4	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
BW_40966	5	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_43970	NA	conv	0	33	0	0	0	0	0	0	0	0	76	0	0	0	0	5	0	4	0	0	25	5	0	0	0	0	0	0	0	0
BW_47041	9	org	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_47279	9	conv	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0
BW_48630	8	org	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	27	0	0	0	1	0
BW_48743	10	conv	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BW_50249	8	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_50284	NA	conv	2	15	15	0	0	0	0	0	141	0	61	0	0	0	0	0	0	7	0	0	794	0	0	0	5	2	0	0	2	0
