	type	calli-sp	ceratdem	ceratsub	charaglob	charavir	charavul	draadwier	elodenut	darmwier	lemnagib	lemnamin	lemnamis	lemnatri	myriospi	nitelf-o	nympdpel	nymph-ds	polynamp	potamcri	potamnat	potampec	potampus	ranunaqu	ranunBATg	ranunpel	spiropol	wolffarr	zannipal
BW_07411	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_07424	conv	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_15060	org	0	0	0	0	2	0	4	6	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	0	2	0	0	0
BW_15061	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
BW_22050	org	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
BW_22166	conv	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_23233	conv	0	0	0	0	0	0	4	0	0	0	3	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0
BW_26498	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_28643	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_28887	conv	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_33613	org	0	5	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0
BW_34860	conv	0	0	0	0	0	0	0	0	0	5	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_34868	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
BW_34872	org	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_35180	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_35695	conv	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
BW_35754	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_36014	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_36023	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_36256	org	2	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
BW_36962	conv	0	0	3	0	0	0	2	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
BW_40399_P4	conv	0	0	0	0	0	0	0	0	2	3	3	0	5	0	0	0	0	4	3	0	5	3	2	0	0	0	0	0
BW_40478	org	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
BW_40494	org	0	0	0	0	0	0	0	0	0	1	3	0	6	0	0	0	0	0	3	0	0	0	2	0	0	3	0	0
BW_40583_P6	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_40966	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0
BW_43970	conv	3	0	0	0	0	0	2	0	0	0	3	0	3	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0
BW_47041	org	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
BW_47279	conv	0	0	0	0	0	0	2	0	0	4	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0
BW_48630	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
BW_48743	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_50249	org	0	0	6	0	0	0	2	0	2	3	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_50284	conv	0	0	3	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3
BW_53472	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_54947	org	0	0	5	3	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	3
BW_56024	org	0	0	0	0	0	0	0	0	0	4	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_56504	conv	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
BW_57596	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
BW_62256_P8	conv	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_62595	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BW_68325	org	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
BW_68333	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_68935	org	0	3	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_69901_Back	org	2	0	0	0	0	0	3	0	0	0	3	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
BW_74801	org	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_81244	org	3	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_83310	conv	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_84796	org	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
