	pairs	type	Anisus_vortex	Gyraulus_crista	Bathyomphalus_contortus	Bithynia_tentaculata	Ferrissia_fragilis	Gyraulus_albus	Hippeutis_complanatus	Lymnaea_stagnalis	Physa_fontinalis	Physella_acuta_	Planorbarius_corneus	Planorbis_planorbis	Radix_balthica	Stagnicola_palustris_complex	Valvata_cristata	Valvata_piscinalis
BW_07411	13	org	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0
BW_07424	13	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_15060	NA	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_15061	NA	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_22050	12	org	0	0	0	0	0	0	0	7	0	0	0	0	10	0	0	0
BW_22166	12	conv	3	1	3	16	0	0	0	0	0	0	2	0	0	0	0	0
BW_23233	11	conv	0	0	0	0	0	0	0	0	0	0	0	0	340	510	0	0
BW_26498	NA	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_28643	NA	org	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0
BW_28887	NA	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_33613	11	org	0	2	0	0	0	0	0	0	0	0	0	0	747	0	0	0
BW_34860	6	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_34868	6	org	0	26	0	0	0	0	0	0	0	2	0	0	0	0	0	0
BW_34872	NA	conv	3	0	0	0	0	0	0	0	0	1518	0	0	0	0	0	0
BW_35180	NA	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_35695	2	conv	0	2	0	0	1	0	3	0	0	0	0	0	0	0	0	0
BW_35754	2	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_36014	1	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_36023	1	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_36256	NA	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_36962	3	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_40399_P4	NA	conv	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0
BW_40478	4	org	0	1	0	0	0	0	0	0	0	202	0	0	318	0	0	0
BW_40494	NA	org	4	0	0	0	0	2	0	5	0	0	0	0	0	0	0	1
BW_40583_P6	4	conv	0	0	0	0	0	0	0	0	0	0	0	0	544	0	0	0
BW_40966	5	org	0	0	0	0	0	0	0	0	0	1	0	0	3	0	33	0
BW_43970	NA	conv	0	0	19	0	0	0	0	0	0	0	0	75	65	0	0	0
BW_47041	9	org	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
BW_47279	9	conv	0	0	0	0	0	0	0	0	0	9	0	0	7	0	0	0
BW_48630	8	org	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
BW_48743	10	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_50249	8	org	0	14	0	0	0	0	10	0	0	1	0	0	200	0	0	0
BW_50284	NA	conv	0	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_53472	NA	org	4	0	0	0	0	6	0	0	0	0	0	0	7	0	0	0
BW_54947	7	org	0	0	0	0	0	0	0	4	0	834	0	0	381	0	0	0
BW_56024	NA	conv	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_56504	5	conv	117	0	0	52	0	0	2	0	100	0	0	0	11	6	3	8
BW_57596	10	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_62256_P8	7	conv	0	0	0	0	0	2	0	0	0	35	0	0	8	0	0	0
BW_62595	NA	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_68325	NA	org	0	0	0	0	0	0	0	450	0	10	6	240	0	2	0	0
BW_68333 	NA	conv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_68935	NA	org	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_69901_Back	NA	org	12	0	0	0	0	0	0	0	0	62	0	0	3	0	0	0
BW_74801	3	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BW_81244	14	org	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
BW_83310	14	conv	0	22	0	0	1	0	16	0	0	2	0	0	490	0	0	0
BW_84796	NA	org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
