	Type	Pair	Aln_affinis	Aln_costata	Aln_guttata	Aln_quadrangularis	Aln_rectangula	Aln_intermediata	Aln_weltneri	Alnll_excisa	Alnll_nana	Bos_longirostris	Camp_rectirostris	Cerio	Chy_sphaericus	Chy_piger	Daph_atkinsoni	Daph_curvirostris	Daph_complex	Daph_magna_	Daph_obtusa	Daph_parvula	Daph_pulex	Daph_simillis	Diaph_brachyurum	Ilio_agilis	Ilio_silvaeducensis	Ilio_sordidus	Ley_leydigi	Macro_laticornis	Moina_brachiata	Mono_dispar	Oxy_tenuicaudis	Pleuro_denticulatus	Pleuro_aduncus	Pleuro_truncatus	Scaph_mucronata	Scaph_rammneri	Simo_exspinosus	Simo_vetulus	cyclo	calan
BW_07411	org	13	0	0	0	0	0	0	0	0	0	2.05	0	0.04881	1.659524	0	0	0	1.366667	0	0	0	0	0	0	0	0	0	0	0	0	0.097619	0	0	0	0	9.127381	0	0	0	31.14048	0
BW_07424	conv	13	0	0	0	0	0	0	0	0	0	0.205	0	6.56	1.23	0	0	0	32.39	0	13.735	0	1.64	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23	0	0	0	58.835	0
BW_15060	org	N/A	0	0	0	0	0	0	0	0	0	394.9667	2.733333	15.03333	92.93333	0	0	0	0	0	0	0	0	0	2.733333	0	0	0	0	0	0	0	0	0	0	0	8.883333	0	0	0	313.65	10.93333
BW_15061	org	N/A	0	0	0	0	0	0	0	0	2.05	902	0	53.3	0	0	0	0	2.05	0	0	0	0	0	2.05	0	0	0	0	0	18.45	0	0	0	0	0	0	0	0	0	209.1	6.15
BW_22050	org	12	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	1.15	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0	332.83	0
BW_22166	conv	12	0	0	0	0	0	0.359649	0	0	0	0.035965	0	0	1.007018	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07193	0	0	0	0	0	0	0	0	0.035965	0.107895	0	34.16667	0.359649
BW_23233	conv	11	0	0	0	0	0	0	0	0	0	0	0	0	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	5.175	0
BW_26498	org	N/A	0	0	0	0	0	0	0	0	0	0.446795	0	0.735897	1.208974	0	0	0.998718	1.287821	0	0.157692	0	0.420513	0	0	0	0	0	0	0	0	0	0	0	0	0	0.420513	0	0	0	16.03205	0.026282
BW_28643	org	N/A	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0.4	0	0	0	0.475	0	0	0.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.312857	0
BW_28887	conv	N/A	0	0	0	0	0	0	0	0	0	0	0	0	77.13125	0	0	0	0	0	0	0	0	0	0	0.25625	0	0	0	0	0	0	0	0	0.5125	0	0	0	0	0	61.75625	0
BW_33613	org	11	0	0	0	0	0	1.65	0	0	0	0	0	0	5.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	5.8	0
BW_34860	conv	N/A	0	0	0	0	0	0	0	0	0	0.05	0	0	2.15	0	0	0	0	0	0.2	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	3.25	0.65	23.36146	0
BW_34868	conv	6	0	0	0	0	0	0	0	0	0	0	0	0	2.658594	0	0	0	3.779688	0	0	0.384375	2.017969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24067.19	2.981818
BW_34872	org	6	0	0	0	0	0	0	0	0	0	0	0	0	127.6125	0	0	0	0	0	0	0	29.725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5875	0	235.75	9.7375
BW_35180	conv	N/A	0	0.025	0	0	0	0	0	0	0	0.1	0	0	0.05	0	0	0	0.725	0	0	0.775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0.25	0
BW_35695	conv	2	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55	1.525	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.75	0.325
BW_35754	org	2	0	0	0	0	0	0	0	0	0	0.683333	0	2.733333	0	0	0	0	0	197.4833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.06667	0
BW_36014	org	1	0	0	0	0	0	0	0.025	0	0	2.475	0	0	2.675	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0.625	0.525	0	0	0	0.075	0	35.65385	0
BW_36023	conv	1	0	0.025	0	0	0.025	0	0	0	0	1.525	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175	0	0	0	0	0	0.1	0	0	0	0	28.95	0
BW_36256	org	N/A	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	2.85	0	0	0.725	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	176.5	3.8
BW_36962	conv	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.3833	0	174.9333	0	2.05	0	0	0	0	0	0	0	0	0	0	0	0	0	24.6	0	0	0	0.436364	0.211364
BW_40399_P4	conv	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1	2.05	1922.9	0
BW_40478	org	4	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	57.35893	0
BW_40494	org	N/A	0	0	0	0	0	0	0	0	8.2	0	0	0	125.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.15	0	0	0	0	0	0	18.45	14.35	0	1199.25	106.6	0
BW_40583_P6	conv	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	23.45	0
BW_40966	org	5	0	0	0	0	0	0	0	0	0	125.7333	0	2.733333	4.1	0	0	0	31.43333	0	43.05	1.366667	32.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.23333	0.273333
BW_43970	conv	N/A	0	0	0	0	0	0	0	0	0	0	0	0	67.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694.745	0
BW_47041	org	9	0.683333	0	0	0	0	0	0	0	0	312.2833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.366667	0	0	0	0	40.31667	0
BW_47279	conv	9	0	0	0	0	0	0	0	19.475	0	16.4	0	0	73.8	0	0	0	25.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.45	18.45	0	0	0	45.1	65.6	852.8	0
BW_48630	conv	10	0	0	0	0	0	0	0	0	0	0	0	0	3.075	0	0	0	8.2	4.1	0	0	2.05	4.1	0	0	0	0	0	0	0	0	0	0	0	0	346.45	0	0	0	478.675	0
BW_48743	org	10	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0.1	50.86563	0.384375
BW_50249	org	8	0	0	0	0	0	0	0	0	0	0.142857	0	0	0	0	0	0	0.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.095238	0	20.30476	0
BW_50284	conv	8	0	0	0	0	0	0	0	0	0	0	0	1.5375	6.15	0	0	0	0	0	0	3.5875	65.0875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.1	50.225	1047.55	0
BW_53472	org	N/A	0	0	0	0	0	0	0	0	0	7103.25	0	0	0	0	0	0	10.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302.375	20.5
BW_54947	org	7	0	0	0	0	0	0	0	0	0	0	0	7.05	0.3	0	0.1	0.05	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85	2.35	1061.9	0
BW_56024	org	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	5.075	0	0	0.025	130.175	0
BW_56504	conv	5	0	0	0	0	0	0	0	0	0	11.925	0	0	0	0	0	0	5.6	0	9.45	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281.4	0.7
BW_57596	conv	N/A	0	0	0	17.76667	0	0	0	0	0	9.566667	0	0	3.416667	0	0	0	4.783333	0	0	2.05	0	0	0	0	0	0	0	0	0	0	0	35.53333	13.66667	95.66667	0	0	8.883333	3.416667	537.1	631.4
BW_62256_P8	conv	7	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	557.5	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25	1.25	48.75	0
BW_62595	conv	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274.0167	0
BW_68325	org	N/A	0	0	0	0	0	0	0	0	0	0	0	0	163.3167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.23333	24.6	166.7333	0
BW_68333	conv	N/A	0	0	0.170833	0	0	0	0	0	0	0	0	0	1.879167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.80417	0
BW_68935	org	N/A	0	0	0	0	0.2	0	0	0	0	0	0	0.333333	2.566667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066667	0	0.1	0	1.3	0	664.2	0
BW_69901_Back	org	N/A	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0.275	0	0.025	0	0	0	0.05	0.05	0	0.05	0	0	0	0	0	0	0.025	0	0	0	9.45	0
BW_74801	org	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.66818	0	0	35.03636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186364	0	1203.35	0
BW_81244	org	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068333	0	0	0	0.956667	0.41	0.41	0	39.36	0
BW_83310	conv	14	0	0	0	0	0	0	0	0	0	0	0	0	1.23	0	0	0	3.69	0	105.37	7.79	7.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23	0	120.54	0
BW_84796	org	3	0	0	0	0	0	0	0	0	0	0	0	14.35	701.1	200.9	0	2.05	2.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.7	34.85	512.5	0
